combination_id,segment_id,segment_name,lifecycle_stage,lifecycle_description,dominant_propensity,activation_level,primary_goal,sub_goals,day_on_day_progression_goals,lifecycle_context
S4_paid,S4,Coin Collectors,paid,Engaged - Maximizing Value,gamification,Medium,Increase gamification engagement • deepening engagement & retention,"['Drive gamification feature usage (Paid context: Sustained usage and progression)', 'Improve gamification adoption metrics (Paid context: Sustained usage and progression)']",['Track daily gamification metrics • Track in paid phase'],"{'stage': 'paid', 'description': 'Engaged - Maximizing Value', 'goal_modifier': 'deepening engagement & retention', 'focus': 'Sustained usage and progression'}"
S4_churned,S4,Coin Collectors,churned,At-Risk - Re-activation Needed,gamification,Medium,Increase gamification engagement • re-engagement & recovering lost habits,"['Drive gamification feature usage (Churned context: Breaking inactivity cycle)', 'Improve gamification adoption metrics (Churned context: Breaking inactivity cycle)']",['Track daily gamification metrics • Track in churned phase'],"{'stage': 'churned', 'description': 'At-Risk - Re-activation Needed', 'goal_modifier': 're-engagement & recovering lost habits', 'focus': 'Breaking inactivity cycle'}"
S4_trial,S4,Coin Collectors,trial,Early Stage - Building Habits,gamification,Medium,Increase gamification engagement • rapid adoption & habit formation,"['Drive gamification feature usage (Trial context: Quick wins and onboarding)', 'Improve gamification adoption metrics (Trial context: Quick wins and onboarding)']",['Track daily gamification metrics • Track in trial phase'],"{'stage': 'trial', 'description': 'Early Stage - Building Habits', 'goal_modifier': 'rapid adoption & habit formation', 'focus': 'Quick wins and onboarding'}"
S4_inactive,S4,Coin Collectors,inactive,Dormant - Win-Back Campaign,gamification,Medium,Increase gamification engagement • compelling return value proposition,"['Drive gamification feature usage (Inactive context: Removing friction to return)', 'Improve gamification adoption metrics (Inactive context: Removing friction to return)']",['Track daily gamification metrics • Track in inactive phase'],"{'stage': 'inactive', 'description': 'Dormant - Win-Back Campaign', 'goal_modifier': 'compelling return value proposition', 'focus': 'Removing friction to return'}"
S7_paid,S7,Fading Players,paid,Engaged - Maximizing Value,gamification,Low,Increase gamification engagement • deepening engagement & retention,"['Drive gamification feature usage (Paid context: Sustained usage and progression)', 'Improve gamification adoption metrics (Paid context: Sustained usage and progression)']",['Track daily gamification metrics • Track in paid phase'],"{'stage': 'paid', 'description': 'Engaged - Maximizing Value', 'goal_modifier': 'deepening engagement & retention', 'focus': 'Sustained usage and progression'}"
S7_churned,S7,Fading Players,churned,At-Risk - Re-activation Needed,gamification,Low,Increase gamification engagement • re-engagement & recovering lost habits,"['Drive gamification feature usage (Churned context: Breaking inactivity cycle)', 'Improve gamification adoption metrics (Churned context: Breaking inactivity cycle)']",['Track daily gamification metrics • Track in churned phase'],"{'stage': 'churned', 'description': 'At-Risk - Re-activation Needed', 'goal_modifier': 're-engagement & recovering lost habits', 'focus': 'Breaking inactivity cycle'}"
S7_trial,S7,Fading Players,trial,Early Stage - Building Habits,gamification,Low,Increase gamification engagement • rapid adoption & habit formation,"['Drive gamification feature usage (Trial context: Quick wins and onboarding)', 'Improve gamification adoption metrics (Trial context: Quick wins and onboarding)']",['Track daily gamification metrics • Track in trial phase'],"{'stage': 'trial', 'description': 'Early Stage - Building Habits', 'goal_modifier': 'rapid adoption & habit formation', 'focus': 'Quick wins and onboarding'}"
S7_inactive,S7,Fading Players,inactive,Dormant - Win-Back Campaign,gamification,Low,Increase gamification engagement • compelling return value proposition,"['Drive gamification feature usage (Inactive context: Removing friction to return)', 'Improve gamification adoption metrics (Inactive context: Removing friction to return)']",['Track daily gamification metrics • Track in inactive phase'],"{'stage': 'inactive', 'description': 'Dormant - Win-Back Campaign', 'goal_modifier': 'compelling return value proposition', 'focus': 'Removing friction to return'}"
S6_paid,S6,Social Observers,paid,Engaged - Maximizing Value,leaderboard,Medium,Increase leaderboard engagement • deepening engagement & retention,"['Drive leaderboard feature usage (Paid context: Sustained usage and progression)', 'Improve leaderboard adoption metrics (Paid context: Sustained usage and progression)']",['Track daily leaderboard metrics • Track in paid phase'],"{'stage': 'paid', 'description': 'Engaged - Maximizing Value', 'goal_modifier': 'deepening engagement & retention', 'focus': 'Sustained usage and progression'}"
S6_churned,S6,Social Observers,churned,At-Risk - Re-activation Needed,leaderboard,Medium,Increase leaderboard engagement • re-engagement & recovering lost habits,"['Drive leaderboard feature usage (Churned context: Breaking inactivity cycle)', 'Improve leaderboard adoption metrics (Churned context: Breaking inactivity cycle)']",['Track daily leaderboard metrics • Track in churned phase'],"{'stage': 'churned', 'description': 'At-Risk - Re-activation Needed', 'goal_modifier': 're-engagement & recovering lost habits', 'focus': 'Breaking inactivity cycle'}"
