template_id,segment_id,lifecycle_stage,goal,theme,tone_preferences,hook_used,feature_reference,content_english,content_hindi
TPL-90D420E3,S4,paid,Increase gamification engagement • deepening engagement & retention,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",Paid,Unlock Exclusive Rewards,You're on a roll! Unlock exclusive rewards for reaching new milestones. Keep pushing!,आपकी प्रगति देखकर हम खुश हैं! नई मील के पत्थर पूरे करने पर विशेष पुरस्कारों का स्वागत करें. आगे बढ़ें!
TPL-F713D9D2,S4,paid,Increase gamification engagement • deepening engagement & retention,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",Retention,Stay on Track with Your Goals,You've made it this far! Stay on track with your goals and keep pushing yourself to new heights. You got this!,आपने इतनी दूरी तय की है! अपने लक्ष्यों को बनाए रखने के लिए आगे बढ़ें और अपने सपनों को पूरा करें. आप इसे कर सकते हैं!
TPL-F234F13A,S4,paid,Increase gamification engagement • deepening engagement & retention,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",Paid,Level Up Your Progress,Level up your progress and unlock new challenges! You're one step closer to achieving your goals. Keep going!,आपकी प्रगति को स्तर बढ़ाएं और नए चुनौतियों का सामना करें! आपके लक्ष्यों की ओर एक कदम आगे बढ़ें। आगे बढ़ें!
TPL-CCC27733,S4,paid,Increase gamification engagement • deepening engagement & retention,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",Retention,Your Progress Matters,"Your progress matters! Don't give up, keep pushing forward. You're making a difference, and that's something to be proud of.","आपकी प्रगति महत्वपूर्ण है! निराश न हों, आगे बढ़ें। आप कुछ भी हासिल कर सकते हैं और वह भी महत्वपूर्ण है।"
TPL-CF37768D,S4,paid,Increase gamification engagement • deepening engagement & retention,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",Paid,Exclusive Content Awaits,Exclusive content awaits! Unlock special rewards and surprises by reaching new milestones. You're one step closer to achieving your goals.,विशेष सामग्री आपके लिए तैयार है! नई मील के पत्थर पूरे करने पर विशेष पुरस्कार और आश्चर्यों का स्वागत करें। आपके लक्ष्यों की ओर एक कदम आगे बढ़ें।
TPL-CF9F6BDC,S4,churned,Increase gamification engagement • re-engagement & recovering lost habits,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",Paid,Exclusive Rewards,You're just 1 step away from unlocking your next reward! Keep pushing to get back on track!,"आपके अगले पुरस्कार को हासिल करने के लिए, अभी भी एक कदम आगे बढ़ें। अपनी आदतों को फिर से शुरू करें!"
TPL-ECF4ABBF,S4,churned,Increase gamification engagement • re-engagement & recovering lost habits,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",Retention,Recover Your Progress,Don't let your progress slip away! Come back to your goals and get back on track.,आपकी प्रगति को खोने देने की जरूरत नहीं है! अपने लक्ष्यों को फिर से शुरू करें और अपनी दिशा में आगे बढ़ें।
TPL-DBF8FCDD,S4,churned,Increase gamification engagement • re-engagement & recovering lost habits,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",Paid,Boost Your Motivation,Get a boost of motivation to help you stay on track! Our exclusive rewards will keep you going.,"आपकी प्रेरणा को बढ़ाने के लिए, हमारे विशेष पुरस्कार आपको अपनी दिशा में आगे बढ़ने में मदद करेंगे।"
TPL-C2A4396D,S4,churned,Increase gamification engagement • re-engagement & recovering lost habits,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",Retention,Your Habit Awaits,Your habit is waiting for you! Come back and start again. You got this!,आपकी आदत आपके पास है! फिर से शुरू करें और यह करें. आप इसे कर सकते हैं!
TPL-888DF00E,S4,churned,Increase gamification engagement • re-engagement & recovering lost habits,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",Paid,Unlock Your Potential,Unlock your full potential and get back on track! Exclusive rewards await you.,आपकी पूरी संभावना को खोलें और अपनी दिशा में आगे बढ़ें। विशेष पुरस्कार आपके लिए तैयार हैं।
TPL-944A6E84,S4,trial,Increase gamification engagement • rapid adoption & habit formation,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",Paid,Unlock Exclusive Rewards,You're halfway to achieving your goal! Unlock exclusive rewards for your progress.,आप अपने लक्ष्य की अर्थपूर्णता में आधा पहुंच गए हैं! प्रगति के लिए विशेष पुरस्कारों का स्वागत करें.
TPL-66E6A117,S4,trial,Increase gamification engagement • rapid adoption & habit formation,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",Retention,Stay on Track with Daily Challenges,Don't let motivation slip away! Stay on track with daily challenges and keep your progress going.,प्रेरणा को ध्यान में रखने के लिए दैनिक चुनौतियों का स्वागत करें! अपनी प्रगति को जारी रखें।
TPL-5B511A6D,S4,trial,Increase gamification engagement • rapid adoption & habit formation,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",Paid,Boost Your Progress with Expert Insights,Take your progress to the next level with expert insights and guidance. Unlock the full potential of our app.,अपनी प्रगति को अगले स्तर तक ले जाने के लिए विशेषज्ञ दृष्टिकोण और मार्गदर्शन का स्वागत करें! हमारे ऐप की पूरी क्षमता को खुलासा करें।
TPL-39B16ABC,S4,trial,Increase gamification engagement • rapid adoption & habit formation,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",Retention,Join a Community of Like-Minded Individuals,Connect with others who share your goals and passions. Join a community that will support and motivate you every step of the way.,आपके लक्ष्यों और रुचियों के साथ जुड़ने वाले लोगों के समूह में शामिल हों! एक समर्थन और प्रेरणा की दिशा में समुदाय का स्वागत करें।
TPL-152B7FA1,S4,trial,Increase gamification engagement • rapid adoption & habit formation,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",Paid,Personalized Coaching for Maximum Impact,Get personalized coaching to help you achieve your goals faster. Unlock the full potential of our app and start seeing results today.,आपके लक्ष्यों को तेजी से प्राप्त करने के लिए व्यक्तिगत कोचिंग प्राप्त करें! हमारे ऐप की पूरी क्षमता को खुलासा करें और आज ही परिणाम देखें।
TPL-9839E7BE,S4,inactive,Increase gamification engagement • compelling return value proposition,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",Paid,Unlock Exclusive Rewards,Get back on track with our exclusive rewards! Complete your first task in 24 hours and unlock a special surprise.,अप्रत्याशित पुरस्कारों के साथ अपने पहले कार्य को पूरा करें! 24 घंटे के भीतर अपना पहला कार्य पूरा करें और एक विशेष आश्चर्य का सामना करें.
TPL-0FEDE123,S4,inactive,Increase gamification engagement • compelling return value proposition,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",Retention,Your Progress Matters,Don't let your progress slip away! Check your dashboard to see how far you've come and what's next.,अपने प्रगति को ध्यान में रखें! अपने डैशबोर्ड पर जाएं और देखें कि आप कहाँ पहुँच गए हैं और आगे क्या है.
TPL-EACBA969,S4,inactive,Increase gamification engagement • compelling return value proposition,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",Paid,Boost Your Earning Potential,Take your earning potential to the next level! Complete a series of tasks and earn exclusive rewards.,अपनी कमाई की संभावना को अगले स्तर तक बढ़ाएं! कुछ कार्यों की श्रृंखला पूरा करें और विशेष पुरस्कार प्राप्त करें.
TPL-60407673,S4,inactive,Increase gamification engagement • compelling return value proposition,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",Retention,Your Journey Awaits,You're one step closer to achieving your goals! Keep moving forward and stay motivated.,आप अपने लक्ष्यों की ओर एक कदम आगे हैं! आगे बढ़ें और प्रेरित रहें.
TPL-9F5BFD3B,S4,inactive,Increase gamification engagement • compelling return value proposition,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",Paid,Exclusive Access to Experts,Get expert advice and guidance to help you achieve your goals! Complete a task and unlock exclusive access to our expert team.,विशेषज्ञ सलाह और मार्गदर्शन के लिए विशेष पहुँच प्राप्त करें! कार्य पूरा करें और हमारे विशेषज्ञ टीम के साथ विशेष पहुँच प्राप्त करें.
TPL-124D078A,S7,paid,Increase gamification engagement • deepening engagement & retention,Loss Avoidance,"Encouraging, Non-judgmental, Growth-focused",D31+ Retention Boost,Exclusive Rewards,Unlock your next reward and keep the momentum going! You're doing great!,अभी अगले पुरस्कार को लॉक करें और गति बनाए रखें! आप अच्छा कर रहे हैं!
TPL-713A2220,S7,paid,Increase gamification engagement • deepening engagement & retention,Loss Avoidance,"Encouraging, Non-judgmental, Growth-focused",Don't Miss Out!,Limited Time Challenges,Don't let this opportunity slip away! Complete the challenge and earn exclusive rewards.,अनुभव को खो देने की कोई भी संभावना नहीं है! चुनौती को पूरा करें और एक्सक्लूसिव पुरस्कार प्राप्त करें.
TPL-42C57B51,S7,paid,Increase gamification engagement • deepening engagement & retention,Loss Avoidance,"Encouraging, Non-judgmental, Growth-focused",Your Progress Matters,Personalized Leaderboards,See how you rank and stay motivated! Your progress is what drives us to help you succeed.,आपकी प्रगति का महत्व है! व्यक्तिगत लीडरबोर्ड देखें और प्रेरित रहें! आपकी प्रगति हमें आपको सफल होने में मदद करती है.
TPL-48682636,S7,paid,Increase gamification engagement • deepening engagement & retention,Loss Avoidance,"Encouraging, Non-judgmental, Growth-focused",Level Up Your Game,New Content Updates,"Stay ahead of the curve with our latest updates! New content, new challenges, and new rewards await.","आपकी खेल को स्तर बढ़ाएं! हमारे नवीनतम अपडेट के साथ आगे रहें! नवीन सामग्री, नए चैलेंज, और नए पुरस्कार आपके लिए तैयार हैं."
TPL-6A3C7A6D,S7,paid,Increase gamification engagement • deepening engagement & retention,Loss Avoidance,"Encouraging, Non-judgmental, Growth-focused",You're Almost There!,Final Push Challenges,The finish line is in sight! Complete the final push challenges and claim your ultimate reward.,अंतिम रास्ता आपके सामने है! अंतिम पुश चैलेंज को पूरा करें और आपका अंतिम पुरस्कार प्राप्त करें.
TPL-BE9D2583,S7,churned,Increase gamification engagement • re-engagement & recovering lost habits,Loss Avoidance,"Encouraging, Non-judgmental, Growth-focused",D31+ Retention Reminder,Daily Challenges,Don't let your progress slip away! Complete your daily challenges to stay on track.,अपनी प्रगति को ध्यान में रखने के लिए दैनिक चुनौतियों को पूरा करें।
TPL-F275174D,S7,churned,Increase gamification engagement • re-engagement & recovering lost habits,Loss Avoidance,"Encouraging, Non-judgmental, Growth-focused",Recover Your Lost Habit,Habit Tracker,Get back on track! Your lost habit is waiting for you. Start tracking today.,फिर से अपनी खोए हुए आदत को पुनः शुरू करें! आज से ट्रैकिंग शुरू करें।
TPL-BEF4E53B,S7,churned,Increase gamification engagement • re-engagement & recovering lost habits,Loss Avoidance,"Encouraging, Non-judgmental, Growth-focused",Gamification Boost,Leaderboard,Boost your gamification experience! Climb the leaderboard and show off your skills.,गेमिफिकेशन का बढ़ावा! लीडरबोर्ड में चढ़ें और अपनी क्षमताओं का प्रदर्शन करें।
TPL-A881FA2E,S7,churned,Increase gamification engagement • re-engagement & recovering lost habits,Loss Avoidance,"Encouraging, Non-judgmental, Growth-focused",Don't Miss Out,Exclusive Rewards,Don't miss out on exclusive rewards! Complete your challenges to unlock new goodies.,अनुकूलनीय पुरस्कारों को खो न दें! दैनिक चुनौतियों को पूरा करें और नए सुखद उपहारों को खोजें।
TPL-3CE03537,S7,churned,Increase gamification engagement • re-engagement & recovering lost habits,Loss Avoidance,"Encouraging, Non-judgmental, Growth-focused",You're Not Alone,Community Support,You're not alone! Join our community and get support from like-minded individuals.,आप अकेले नहीं हैं! हमारे समुदाय में शामिल हों और समान दृष्टिकोण वाले व्यक्तियों से समर्थन प्राप्त करें।
TPL-A9B59FE6,S7,trial,Increase gamification engagement • rapid adoption & habit formation,Loss Avoidance,"Encouraging, Non-judgmental, Growth-focused",You're on a roll! Keep it up!,Daily progress tracking,You've made it to the daily milestone! Keep pushing to reach your goals.,आप दैनिक प्रगति ट्रैकिंग में सफल रहे! अपने लक्ष्यों को प्राप्त करने के लिए आगे बढ़ें।
TPL-B284F412,S7,trial,Increase gamification engagement • rapid adoption & habit formation,Loss Avoidance,"Encouraging, Non-judgmental, Growth-focused",Don't let progress slip away!,Reward system,You're so close to reaching your goal! Don't let your progress slip away. Keep going!,आप अपने लक्ष्य के करीब हैं! अपनी प्रगति को ध्यान में रखें और आगे बढ़ें।
